alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.001953125,,,,,,,,
0.00390625,,,,,,,,
0.0078125,,,,,,,-0.19790,0.02308
0.015625,,,,,0.20989,0.02716,-0.12298,0.01691
0.03125,,,,,0.14184,0.01564,-0.10976,0.00703
0.0625,,,,,0.12640,0.00758,-0.10397,0.00851
0.125,0.15403,-0.13246,,,0.14931,0.00432,-0.12485,0.00505
0.25,0.13634,-0.11056,,,0.07601,0.00318,-0.06787,0.00441
0.5,0.13551,-0.11599,,,0.03667,0.00196,-0.03619,0.00191
1.0,0.10054,-0.09715,,,0.01871,0.00125,-0.02149,0.00126
