Dec.,n_0,Cmin,Cminus,Cmin-Cminus,CminusAsym,Cmin-CminusAsym
0,4,1.921812,1.921812,0.000000,1.700722,0.221090
0,5,2.590290,2.590290,0.000000,1.755811,0.834480
0,6,2.140268,1.605201,0.535067,1.792515,0.347753
0,7,0.000000,1.893283,-1.893283,1.819108,-1.819108
0,8,2.162039,2.162039,0.000000,1.839477,0.322562
0,9,4.827796,1.206949,3.620847,1.855708,2.972088
1,11,0.000000,1.437475,-1.437475,1.880221,-1.880221
1,28,1.586227,1.561442,0.024785,1.959694,-0.373468
1,37,1.448748,1.527976,-0.079228,1.976242,-0.527494
1,43,0.000000,1.657808,-1.657808,1.984246,-1.984246
1,59,1.146642,1.623663,-0.477021,1.999340,-0.852698
1,64,1.081019,1.689093,-0.608073,2.002883,-0.921864
1,79,0.979081,1.864460,-0.885380,2.011494,-1.032413
1,89,1.831623,1.770808,0.060816,2.016040,-0.184416
1,97,0.871999,1.839373,-0.967374,2.019187,-1.147188
2,199,1.132084,1.745955,-0.613871,2.041754,-0.909670
2,223,1.053604,1.821879,-0.768275,2.044818,-0.991214
2,379,1.492247,1.753527,-0.261280,2.057639,-0.565392
2,433,1.364958,1.833086,-0.468129,2.060529,-0.695571
2,569,1.983900,1.842520,0.141379,2.066098,-0.082199
2,661,1.788981,1.866254,-0.077273,2.068967,-0.279986
2,706,1.706515,1.904302,-0.197787,2.070188,-0.363674
2,802,1.784236,1.979046,-0.194809,2.072489,-0.288252
2,967,1.761041,1.895270,-0.134229,2.075718,-0.314677
3,1402,1.647631,1.948440,-0.300809,2.081662,-0.434031
3,2029,1.715762,1.965470,-0.249707,2.087031,-0.371268
3,3076,1.845344,1.996236,-0.150893,2.092511,-0.247167
3,4801,1.856187,2.006012,-0.149825,2.097806,-0.241619
3,5416,1.965120,1.982947,-0.017826,2.099149,-0.134029
3,6353,2.124621,2.009710,0.114910,2.100874,0.023747
3,7219,2.055910,2.003296,0.052615,2.102212,-0.046301
3,8777,2.179478,2.012000,0.167478,2.104188,0.075290
3,9649,2.163663,2.032799,0.130864,2.105117,0.058545
4,11272,2.131467,2.044492,0.086974,2.106603,0.024864
4,20816,2.279925,2.062799,0.217125,2.112029,0.167895
4,35792,2.297694,2.077246,0.220448,2.116315,0.181379
4,40597,2.307754,2.057609,0.250145,2.117251,0.190503
4,51826,2.346624,2.076120,0.270503,2.119005,0.227618
4,67904,2.413565,2.077582,0.335984,2.120860,0.292705
4,71633,2.358847,2.089590,0.269257,2.121217,0.237630
4,89459,2.383150,2.090211,0.292939,2.122665,0.260485
4,92357,2.434532,2.096174,0.338358,2.122868,0.311664
5,116728,2.402456,2.103782,0.298674,2.124328,0.278127
5,204928,2.464243,2.106379,0.357864,2.127616,0.336626
5,366794,2.499164,2.110320,0.388844,2.130723,0.368441
5,463549,2.513127,2.106310,0.406817,2.131896,0.381231
5,548461,2.531963,2.112327,0.419635,2.132715,0.399248
5,686398,2.527108,2.115447,0.411661,2.133775,0.393333
5,770558,2.532269,2.114019,0.418250,2.134308,0.397961
5,804191,2.552045,2.112381,0.439664,2.134503,0.417542
5,915961,2.547074,2.117660,0.429414,2.135089,0.411985
